circRNA,RBP,query_gene
11_65825569_65825876|SF3B2,LIN28A,SF3B2
11_65825569_65825876|SF3B2,MBNL1,SF3B2
11_65825569_65825876|SF3B2,PABPC4,SF3B2
11_65825569_65825876|SF3B2,PABPN1,SF3B2
11_65825569_65825876|SF3B2,PUM2,SF3B2
11_65825569_65825876|SF3B2,RBM5,SF3B2
11_65825569_65825876|SF3B2,SRSF1,SF3B2
11_65825569_65825876|SF3B2,SRSF2,SF3B2
11_65825569_65825876|SF3B2,SRSF7,SF3B2
11_65825569_65825876|SF3B2,SRSF9,SF3B2
11_65825569_65825876|SF3B2,TRA2A,SF3B2
11_65825569_65825876|SF3B2,TRA2B,SF3B2
11_65826741_65827066|SF3B2,HNRNPH1,SF3B2
11_65826741_65827066|SF3B2,MBNL1,SF3B2
11_65826741_65827066|SF3B2,PABPN1,SF3B2
11_65826741_65827066|SF3B2,RBM5,SF3B2
11_65826741_65827066|SF3B2,SRSF1,SF3B2
11_65826741_65827066|SF3B2,SRSF5,SF3B2
11_65826741_65827066|SF3B2,TRA2A,SF3B2
11_65826741_65827066|SF3B2,TRA2B,SF3B2
11_65828066_65829201|SF3B2,ANKHD1,SF3B2
11_65828066_65829201|SF3B2,ENOX1,SF3B2
11_65828066_65829201|SF3B2,FMR1,SF3B2
11_65828066_65829201|SF3B2,HNRNPA2B1,SF3B2
11_65828066_65829201|SF3B2,HNRNPH1,SF3B2
11_65828066_65829201|SF3B2,KHDRBS3,SF3B2
11_65828066_65829201|SF3B2,LIN28A,SF3B2
11_65828066_65829201|SF3B2,MSI1,SF3B2
11_65828066_65829201|SF3B2,PABPC1,SF3B2
11_65828066_65829201|SF3B2,PABPC4,SF3B2
11_65828066_65829201|SF3B2,PABPC5,SF3B2
11_65828066_65829201|SF3B2,PABPN1,SF3B2
11_65828066_65829201|SF3B2,RBM3,SF3B2
11_65828066_65829201|SF3B2,RBM5,SF3B2
11_65828066_65829201|SF3B2,RBM6,SF3B2
11_65828066_65829201|SF3B2,SART3,SF3B2
11_65828066_65829201|SF3B2,SNRNP70,SF3B2
11_65828066_65829201|SF3B2,SRSF1,SF3B2
11_65828066_65829201|SF3B2,SRSF10,SF3B2
11_65828066_65829201|SF3B2,SRSF2,SF3B2
11_65828066_65829201|SF3B2,SRSF7,SF3B2
11_65828066_65829201|SF3B2,SRSF9,SF3B2
11_65828066_65829201|SF3B2,TRA2A,SF3B2
11_65828066_65829201|SF3B2,TRA2B,SF3B2
11_66082511_66082642|CD248,CUG-BP,CD248
11_66082511_66082642|CD248,HNRNPK,CD248
11_66082511_66082642|CD248,MBNL1,CD248
11_66082511_66082642|CD248,NOVA1,CD248
11_66082511_66082642|CD248,PCBP1,CD248
11_66082511_66082642|CD248,PCBP2,CD248
11_66082511_66082642|CD248,PTBP1,CD248
11_66082511_66082642|CD248,SRSF2,CD248
11_66082511_66082642|CD248,SRSF3,CD248
11_66082511_66082642|CD248,SRSF5,CD248
11_66082714_66082819|CD248,HNRNPK,CD248
11_66082714_66082819|CD248,MBNL1,CD248
11_66082714_66082819|CD248,PCBP1,CD248
11_66082714_66082819|CD248,PCBP2,CD248
11_66082714_66082819|CD248,PTBP1,CD248
11_66082714_66082819|CD248,SRSF2,CD248
11_66082714_66082819|CD248,SRSF3,CD248
11_66082714_66082819|CD248,SRSF5,CD248
11_66082714_66082819|CD248,YBX1,CD248
11_66082714_66082864|CD248,HNRNPK,CD248
11_66082714_66082864|CD248,NOVA1,CD248
11_66082714_66082864|CD248,PCBP1,CD248
11_66082714_66082864|CD248,PTBP1,CD248
11_66082714_66082864|CD248,SRSF2,CD248
11_66082714_66082864|CD248,SRSF3,CD248
11_66082714_66082864|CD248,SRSF5,CD248
11_66082714_66082864|CD248,YBX1,CD248
11_66082739_66082844|CD248,HNRNPK,CD248
11_66082739_66082844|CD248,NOVA1,CD248
11_66082739_66082844|CD248,PCBP1,CD248
11_66082739_66082844|CD248,PCBP3,CD248
11_66082739_66082844|CD248,PTBP1,CD248
11_66082739_66082844|CD248,RBM6,CD248
11_66082739_66082844|CD248,SRSF3,CD248
11_66082739_66082844|CD248,SRSF5,CD248
11_66082739_66082844|CD248,YBX1,CD248
11_66082806_66082914|CD248,HNRNPK,CD248
11_66082806_66082914|CD248,HNRNPL,CD248
11_66082806_66082914|CD248,HNRPLL,CD248
11_66082806_66082914|CD248,MBNL1,CD248
11_66082806_66082914|CD248,NOVA1,CD248
11_66082806_66082914|CD248,PTBP1,CD248
11_66082806_66082914|CD248,RBM6,CD248
11_66082806_66082914|CD248,SRSF2,CD248
11_66082806_66082914|CD248,SRSF3,CD248
11_66083099_66083207|CD248,HNRNPK,CD248
11_66083099_66083207|CD248,MBNL1,CD248
11_66083099_66083207|CD248,NOVA1,CD248
11_66083099_66083207|CD248,PCBP1,CD248
11_66083099_66083207|CD248,PCBP2,CD248
11_66083099_66083207|CD248,PTBP1,CD248
11_66083099_66083207|CD248,SRSF2,CD248
11_66083099_66083207|CD248,SRSF3,CD248
11_66083099_66083207|CD248,SRSF5,CD248
11_66249779_66249893|DPP3,CUG-BP,DPP3
11_66249779_66249893|DPP3,FUS,DPP3
11_66249779_66249893|DPP3,MBNL1,DPP3
11_66249779_66249893|DPP3,PCBP1,DPP3
11_66249779_66249893|DPP3,SRSF2,DPP3
11_66249779_66249893|DPP3,SRSF3,DPP3
11_66249779_66249893|DPP3,SRSF7,DPP3
11_6635304_6635414|TPP1,MBNL1,TPP1
11_6635304_6635414|TPP1,NOVA1,TPP1
11_6635304_6635414|TPP1,PCBP1,TPP1
11_6635304_6635414|TPP1,PCBP2,TPP1
11_6635304_6635414|TPP1,PCBP3,TPP1
11_6635304_6635414|TPP1,PTBP1,TPP1
11_6635304_6635414|TPP1,RBM41,TPP1
11_6635304_6635414|TPP1,SRSF2,TPP1
11_6635304_6635414|TPP1,SRSF3,TPP1
11_6635304_6635414|TPP1,SRSF5,TPP1
11_66404902_66405033|RBM14-RBM4,CPEB2,RBM14-RBM4
11_66404902_66405033|RBM14-RBM4,CPEB4,RBM14-RBM4
11_66404902_66405033|RBM14-RBM4,MBNL1,RBM14-RBM4
11_66404902_66405033|RBM14-RBM4,NOVA1,RBM14-RBM4
11_66404902_66405033|RBM14-RBM4,PCBP3,RBM14-RBM4
11_66404902_66405033|RBM14-RBM4,PTBP1,RBM14-RBM4
11_66404902_66405033|RBM14-RBM4,SRSF3,RBM14-RBM4
11_66404902_66405033|RBM14-RBM4,SRSF5,RBM14-RBM4
11_66404902_66405033|RBM14-RBM4,U2AF2,RBM14-RBM4
11_66404902_66405033|RBM14-RBM4,ZC3H14,RBM14-RBM4
11_66625683_66625827|LRFN4,PCBP2,LRFN4
11_66625683_66625827|LRFN4,PTBP1,LRFN4
11_66625683_66625827|LRFN4,SAMD4A,LRFN4
11_66625683_66625827|LRFN4,SRSF2,LRFN4
11_66625683_66625827|LRFN4,SRSF3,LRFN4
11_66625683_66625827|LRFN4,SRSF5,LRFN4
11_66625731_66625931|LRFN4,MBNL1,LRFN4
11_66625731_66625931|LRFN4,SRSF3,LRFN4
11_66625731_66625931|LRFN4,YBX1,LRFN4
11_67049120_67049327|ADRBK1,FXR2,ADRBK1
11_67049120_67049327|ADRBK1,HNRNPK,ADRBK1
11_67049120_67049327|ADRBK1,NOVA1,ADRBK1
11_67049120_67049327|ADRBK1,PCBP1,ADRBK1
11_67049120_67049327|ADRBK1,PCBP2,ADRBK1
11_67049120_67049327|ADRBK1,PTBP1,ADRBK1
11_67049120_67049327|ADRBK1,SNRPA,ADRBK1
11_67049120_67049327|ADRBK1,SRSF3,ADRBK1
11_67049120_67049327|ADRBK1,SRSF5,ADRBK1
11_67049120_67049327|ADRBK1,SRSF7,ADRBK1
11_67049120_67049327|ADRBK1,TARDBP,ADRBK1
11_67136192_67136314|LOC100130987,BRUNOL6,LOC100130987
11_67136192_67136314|LOC100130987,HNRNPA1,LOC100130987
11_67136192_67136314|LOC100130987,HNRNPA2B1,LOC100130987
11_67136192_67136314|LOC100130987,HNRNPF,LOC100130987
11_67136192_67136314|LOC100130987,HNRNPH1,LOC100130987
11_67136192_67136314|LOC100130987,HNRNPU,LOC100130987
11_67136192_67136314|LOC100130987,MBNL1,LOC100130987
11_67136192_67136314|LOC100130987,TRA2B,LOC100130987
11_67136192_67136314|LOC100130987,ZC3H10,LOC100130987
11_67351990_67352712|GSTP1,HNRNPA1,GSTP1
11_67351990_67352712|GSTP1,HNRNPA2B1,GSTP1
11_67351990_67352712|GSTP1,HNRNPF,GSTP1
11_67351990_67352712|GSTP1,HNRNPH2,GSTP1
11_67351990_67352712|GSTP1,LIN28A,GSTP1
11_67351990_67352712|GSTP1,PTBP1,GSTP1
11_67351990_67352712|GSTP1,RBM42,GSTP1
11_67351990_67352712|GSTP1,RBMS1,GSTP1
11_67351990_67352712|GSTP1,RBMS3,GSTP1
11_67351990_67352712|GSTP1,SRSF1,GSTP1
11_67351990_67352712|GSTP1,SRSF2,GSTP1
11_67351990_67352712|GSTP1,SRSF3,GSTP1
11_67351990_67352712|GSTP1,SRSF5,GSTP1
11_67351990_67352712|GSTP1,YBX1,GSTP1
11_67351990_67352712|GSTP1,YBX2,GSTP1
11_67352673_67353663|GSTP1,HNRPLL,GSTP1
11_67352673_67353663|GSTP1,MBNL1,GSTP1
11_67352673_67353663|GSTP1,PABPC3,GSTP1
11_67352673_67353663|GSTP1,PCBP2,GSTP1
11_67352673_67353663|GSTP1,PTBP1,GSTP1
11_67352673_67353663|GSTP1,RBMS1,GSTP1
11_67352673_67353663|GSTP1,RBMS3,GSTP1
11_67352673_67353663|GSTP1,SRSF3,GSTP1
11_67352673_67353663|GSTP1,YBX1,GSTP1
11_67352673_67353663|GSTP1,YBX2,GSTP1
11_67432871_67433024|ALDH3B2,CUG-BP,ALDH3B2
11_67432871_67433024|ALDH3B2,HNRNPK,ALDH3B2
11_67432871_67433024|ALDH3B2,MBNL1,ALDH3B2
11_67432871_67433024|ALDH3B2,RBM45,ALDH3B2
11_67432871_67433024|ALDH3B2,SRSF2,ALDH3B2
11_67432871_67433024|ALDH3B2,SRSF3,ALDH3B2
11_67432871_67433024|ALDH3B2,SRSF5,ALDH3B2
11_67432871_67433024|ALDH3B2,SRSF7,ALDH3B2
11_67432871_67433024|ALDH3B2,YBX1,ALDH3B2
11_67795702_67795803|ALDH3B1,HNRNPK,ALDH3B1
11_67795702_67795803|ALDH3B1,MBNL1,ALDH3B1
11_67795702_67795803|ALDH3B1,NOVA1,ALDH3B1
11_67795702_67795803|ALDH3B1,PCBP1,ALDH3B1
11_67795702_67795803|ALDH3B1,PCBP2,ALDH3B1
11_67795702_67795803|ALDH3B1,PTBP1,ALDH3B1
11_67795702_67795803|ALDH3B1,RBM4,ALDH3B1
11_67795702_67795803|ALDH3B1,RBM6,ALDH3B1
11_67795702_67795803|ALDH3B1,SRSF2,ALDH3B1
11_67795702_67795803|ALDH3B1,SRSF3,ALDH3B1
11_67795702_67795803|ALDH3B1,SRSF5,ALDH3B1
11_68197134_68201217|LRP5,CUG-BP,LRP5
11_68197134_68201217|LRP5,MBNL1,LRP5
11_68197134_68201217|LRP5,SRSF1,LRP5
11_68197134_68201217|LRP5,SRSF2,LRP5
11_68197134_68201217|LRP5,SRSF3,LRP5
11_68197134_68201217|LRP5,SRSF5,LRP5
11_68197134_68201217|LRP5,TARDBP,LRP5
11_69061769_69061919|MYEOV,CUG-BP,MYEOV
11_69061769_69061919|MYEOV,HNRNPF,MYEOV
11_69061769_69061919|MYEOV,MBNL1,MYEOV
11_69061769_69061919|MYEOV,NOVA1,MYEOV
11_69061769_69061919|MYEOV,RBM6,MYEOV
11_69061769_69061919|MYEOV,SRSF2,MYEOV
11_69061769_69061919|MYEOV,SRSF3,MYEOV
11_69061769_69061919|MYEOV,SRSF5,MYEOV
11_69063409_69063533|MYEOV,BRUNOL5,MYEOV
11_69063409_69063533|MYEOV,BRUNOL6,MYEOV
11_69063409_69063533|MYEOV,FUS,MYEOV
11_69063409_69063533|MYEOV,HNRNPF,MYEOV
11_69063409_69063533|MYEOV,MBNL1,MYEOV
11_69063409_69063533|MYEOV,RBM28,MYEOV
11_69063409_69063533|MYEOV,RBM8A,MYEOV
11_69063409_69063533|MYEOV,SRSF1,MYEOV
11_69063409_69063533|MYEOV,TARDBP,MYEOV
11_69467001_69467141|CCND1,BRUNOL4,CCND1
11_69467001_69467141|CCND1,BRUNOL5,CCND1
11_69467001_69467141|CCND1,CPEB2,CCND1
11_69467001_69467141|CCND1,CPEB4,CCND1
11_69467001_69467141|CCND1,HNRNPC,CCND1
11_69467001_69467141|CCND1,HNRNPCL1,CCND1
11_69467001_69467141|CCND1,HNRNPF,CCND1
11_69467001_69467141|CCND1,HNRNPH2,CCND1
11_69467001_69467141|CCND1,HNRNPM,CCND1
11_69467001_69467141|CCND1,HNRNPU,CCND1
11_69467001_69467141|CCND1,HuR,CCND1
11_69467001_69467141|CCND1,MBNL1,CCND1
11_69467001_69467141|CCND1,PTBP1,CCND1
11_69467001_69467141|CCND1,RALY,CCND1
11_69467001_69467141|CCND1,RBM5,CCND1
11_69467001_69467141|CCND1,SRSF3,CCND1
11_69467001_69467141|CCND1,SRSF5,CCND1
11_69467001_69467141|CCND1,TARDBP,CCND1
11_69467001_69467141|CCND1,TIA1,CCND1
11_69467001_69467141|CCND1,TRA2B,CCND1
11_69467001_69467141|CCND1,U2AF2,CCND1
11_69467001_69467141|CCND1,ZC3H14,CCND1
11_69467001_69467141|CCND1,ZNF638,CCND1
11_70263118_70263229|CTTN,ANKHD1,CTTN
11_70263118_70263229|CTTN,CNOT4,CTTN
11_70263118_70263229|CTTN,ENOX1,CTTN
11_70263118_70263229|CTTN,FMR1,CTTN
11_70263118_70263229|CTTN,FXR2,CTTN
11_70263118_70263229|CTTN,HNRNPA1,CTTN
11_70263118_70263229|CTTN,HNRNPF,CTTN
11_70263118_70263229|CTTN,HNRNPL,CTTN
11_70263118_70263229|CTTN,HNRNPU,CTTN
11_70263118_70263229|CTTN,HNRPLL,CTTN
11_70263118_70263229|CTTN,LIN28A,CTTN
11_70263118_70263229|CTTN,MBNL1,CTTN
11_70263118_70263229|CTTN,RBM45,CTTN
11_70263118_70263229|CTTN,SRSF1,CTTN
11_70263118_70263229|CTTN,SRSF10,CTTN
11_70263118_70263229|CTTN,SRSF2,CTTN
11_70263118_70263229|CTTN,SRSF5,CTTN
11_70263118_70263229|CTTN,SRSF7,CTTN
11_70263118_70263229|CTTN,SRSF9,CTTN
11_70263118_70263229|CTTN,TRA2B,CTTN
11_70263118_70266616|CTTN,CUG-BP,CTTN
11_70263118_70266616|CTTN,HNRNPF,CTTN
11_70263118_70266616|CTTN,HNRNPU,CTTN
11_70263118_70266616|CTTN,KHDRBS3,CTTN
11_70263118_70266616|CTTN,MBNL1,CTTN
11_70263118_70266616|CTTN,PABPC1,CTTN
11_70263118_70266616|CTTN,PABPC4,CTTN
11_70263118_70266616|CTTN,RBM6,CTTN
11_70263118_70266616|CTTN,SART3,CTTN
11_70263118_70266616|CTTN,SRSF5,CTTN
11_70263118_70266616|CTTN,SRSF7,CTTN
11_70263118_70266616|CTTN,TRA2B,CTTN
11_71146441_71146570|DHCR7,CUG-BP,DHCR7
11_71146441_71146570|DHCR7,FUS,DHCR7
11_71146441_71146570|DHCR7,MBNL1,DHCR7
11_71146441_71146570|DHCR7,NOVA1,DHCR7
11_71146441_71146570|DHCR7,RBM41,DHCR7
11_71146441_71146570|DHCR7,SRSF2,DHCR7
11_71146441_71146570|DHCR7,SRSF3,DHCR7
11_71146441_71146570|DHCR7,SRSF5,DHCR7
11_71146441_71146570|DHCR7,YBX1,DHCR7
11_71146441_71146570|DHCR7,ZC3H10,DHCR7
11_71155143_71155257|DHCR7,ESRP2,DHCR7
11_71155143_71155257|DHCR7,FMR1,DHCR7
11_71155143_71155257|DHCR7,FXR2,DHCR7
11_71155143_71155257|DHCR7,HNRNPM,DHCR7
11_71155143_71155257|DHCR7,MBNL1,DHCR7
11_71155143_71155257|DHCR7,PTBP1,DHCR7
11_71155143_71155257|DHCR7,RBM38,DHCR7
11_71155143_71155257|DHCR7,SAMD4A,DHCR7
11_71155143_71155257|DHCR7,SRSF3,DHCR7
11_71155143_71155257|DHCR7,SRSF5,DHCR7
11_71155143_71155257|DHCR7,TARDBP,DHCR7
11_71821142_71821247|ANAPC15,ANKHD1,ANAPC15
11_71821142_71821247|ANAPC15,CUG-BP,ANAPC15
11_71821142_71821247|ANAPC15,ESRP2,ANAPC15
11_71821142_71821247|ANAPC15,FXR1,ANAPC15
11_71821142_71821247|ANAPC15,G3BP2,ANAPC15
11_71821142_71821247|ANAPC15,HNRNPA2B1,ANAPC15
11_71821142_71821247|ANAPC15,HNRNPF,ANAPC15
11_71821142_71821247|ANAPC15,HNRNPH1,ANAPC15
11_71821142_71821247|ANAPC15,PABPN1,ANAPC15
11_71821142_71821247|ANAPC15,RBM24,ANAPC15
11_71821142_71821247|ANAPC15,RBM45,ANAPC15
11_71821142_71821247|ANAPC15,RBM46,ANAPC15
11_71821142_71821247|ANAPC15,RBM5,ANAPC15
11_71821142_71821247|ANAPC15,SRSF1,ANAPC15
11_71821142_71821247|ANAPC15,SRSF2,ANAPC15
11_71821142_71821247|ANAPC15,SRSF7,ANAPC15
11_71821142_71821247|ANAPC15,SRSF9,ANAPC15
11_71821142_71821247|ANAPC15,TRA2A,ANAPC15
11_71821142_71821247|ANAPC15,TRA2B,ANAPC15
11_71946889_71947030|INPPL1,ENOX1,INPPL1
11_71946889_71947030|INPPL1,HNRNPA1,INPPL1
11_71946889_71947030|INPPL1,HNRNPK,INPPL1
11_71946889_71947030|INPPL1,LIN28A,INPPL1
11_71946889_71947030|INPPL1,PCBP1,INPPL1
11_71946889_71947030|INPPL1,SRSF2,INPPL1
11_71946889_71947030|INPPL1,SRSF5,INPPL1
11_71948451_71948556|INPPL1,CUG-BP,INPPL1
11_71948451_71948556|INPPL1,HNRNPK,INPPL1
11_71948451_71948556|INPPL1,MBNL1,INPPL1
11_71948451_71948556|INPPL1,NOVA1,INPPL1
11_71948451_71948556|INPPL1,PCBP2,INPPL1
11_71948451_71948556|INPPL1,SRSF2,INPPL1
11_71948451_71948556|INPPL1,SRSF3,INPPL1
11_71948451_71948556|INPPL1,SRSF5,INPPL1
11_71948451_71948556|INPPL1,SRSF7,INPPL1
11_71948451_71948556|INPPL1,YBX1,INPPL1
11_73106524_73106688|RELT,HNRNPH2,RELT
11_73106524_73106688|RELT,RBM42,RELT
11_73106524_73106688|RELT,SRSF2,RELT
11_73106524_73106688|RELT,SRSF3,RELT
11_73106524_73106688|RELT,SRSF5,RELT
11_73964770_73964906|PPME1,CUG-BP,PPME1
11_73964770_73964906|PPME1,MBNL1,PPME1
11_73964770_73964906|PPME1,PCBP1,PPME1
11_73964770_73964906|PPME1,PCBP2,PPME1
11_73964770_73964906|PPME1,PCBP3,PPME1
11_73964770_73964906|PPME1,PTBP1,PPME1
11_73964770_73964906|PPME1,SRSF2,PPME1
11_73964770_73964906|PPME1,SRSF3,PPME1
11_73964770_73964906|PPME1,YBX1,PPME1
11_75115063_75115912|RPS3,BRUNOL6,RPS3
11_75115063_75115912|RPS3,CUG-BP,RPS3
11_75115063_75115912|RPS3,ENOX1,RPS3
11_75115063_75115912|RPS3,HNRNPK,RPS3
11_75115063_75115912|RPS3,MBNL1,RPS3
11_75115063_75115912|RPS3,PCBP1,RPS3
11_75115063_75115912|RPS3,RBFOX1,RPS3
11_75115063_75115912|RPS3,RBM24,RPS3
11_75115063_75115912|RPS3,RBM38,RPS3
11_75115063_75115912|RPS3,SRSF2,RPS3
11_75115063_75115912|RPS3,SRSF5,RPS3
11_75115063_75115912|RPS3,TARDBP,RPS3
11_75283284_75283522|SERPINH1,HNRNPL,SERPINH1
11_75283284_75283522|SERPINH1,IGF2BP3,SERPINH1
11_75283284_75283522|SERPINH1,MBNL1,SERPINH1
11_75283284_75283522|SERPINH1,NOVA1,SERPINH1
11_75283284_75283522|SERPINH1,PCBP1,SERPINH1
11_75283284_75283522|SERPINH1,PCBP2,SERPINH1
11_75283284_75283522|SERPINH1,PTBP1,SERPINH1
11_75283284_75283522|SERPINH1,SRSF2,SERPINH1
11_75283284_75283522|SERPINH1,SRSF3,SERPINH1
11_75283284_75283522|SERPINH1,SRSF5,SERPINH1
11_76371889_76372099|LRRC32,CUG-BP,LRRC32
11_76371889_76372099|LRRC32,HNRNPK,LRRC32
11_76371889_76372099|LRRC32,HNRNPU,LRRC32
11_76371889_76372099|LRRC32,MBNL1,LRRC32
11_76371889_76372099|LRRC32,SRSF1,LRRC32
11_76371889_76372099|LRRC32,SRSF2,LRRC32
11_76371889_76372099|LRRC32,SRSF3,LRRC32
11_76371889_76372099|LRRC32,SRSF7,LRRC32
11_76506942_76507161|TSKU,HNRNPL,TSKU
11_76506942_76507161|TSKU,HNRPLL,TSKU
11_76506942_76507161|TSKU,MBNL1,TSKU
11_76506942_76507161|TSKU,NOVA1,TSKU
11_76506942_76507161|TSKU,PTBP1,TSKU
11_76506942_76507161|TSKU,SNRPA,TSKU
11_76506942_76507161|TSKU,SRSF2,TSKU
11_76506942_76507161|TSKU,SRSF3,TSKU
11_76506942_76507161|TSKU,SRSF5,TSKU
11_76506942_76507161|TSKU,SRSF7,TSKU
11_76506942_76507161|TSKU,YBX2,TSKU
11_76507071_76507230|TSKU,MBNL1,TSKU
11_76507071_76507230|TSKU,NOVA1,TSKU
11_76507071_76507230|TSKU,RBFOX1,TSKU
11_76507071_76507230|TSKU,RBM6,TSKU
11_76507071_76507230|TSKU,YBX1,TSKU
11_76833688_76834897|CAPN5,SNRPA,CAPN5
11_76833688_76834897|CAPN5,SRSF3,CAPN5
11_76833688_76834897|CAPN5,SRSF5,CAPN5
11_76833688_76834897|CAPN5,YBX1,CAPN5
11_76833688_76834897|CAPN5,YBX2,CAPN5
11_810255_812582|RPLP2,CUG-BP,RPLP2
11_810255_812582|RPLP2,HNRNPF,RPLP2
11_810255_812582|RPLP2,MBNL1,RPLP2
11_810255_812582|RPLP2,SAMD4A,RPLP2
11_810255_812582|RPLP2,SRSF1,RPLP2
11_810255_812582|RPLP2,SRSF2,RPLP2
11_810255_812582|RPLP2,SRSF3,RPLP2
11_810255_812582|RPLP2,SRSF5,RPLP2
11_82783772_82784386|RAB30-AS1,CPEB2,RAB30-AS1
11_82783772_82784386|RAB30-AS1,MBNL1,RAB30-AS1
11_82783772_82784386|RAB30-AS1,PCBP3,RAB30-AS1
11_82783772_82784386|RAB30-AS1,PTBP1,RAB30-AS1
11_82783772_82784386|RAB30-AS1,QKI,RAB30-AS1
11_82783772_82784386|RAB30-AS1,RBM41,RAB30-AS1
11_82783772_82784386|RAB30-AS1,SRSF3,RAB30-AS1
11_82783772_82784386|RAB30-AS1,TRA2B,RAB30-AS1
11_82783772_82784386|RAB30-AS1,ZCRB1,RAB30-AS1
11_82783772_82784386|RAB30-AS1,ZNF638,RAB30-AS1
11_82880057_82880174|PCF11,BRUNOL6,PCF11
11_82880057_82880174|PCF11,CUG-BP,PCF11
11_82880057_82880174|PCF11,HNRNPF,PCF11
11_82880057_82880174|PCF11,HNRNPM,PCF11
11_82880057_82880174|PCF11,RBM38,PCF11
11_82880057_82880174|PCF11,SRSF1,PCF11
11_82880057_82880174|PCF11,SRSF5,PCF11
11_82880057_82880174|PCF11,TARDBP,PCF11
11_834557_836411|CD151,CUG-BP,CD151
11_834557_836411|CD151,ESRP2,CD151
11_834557_836411|CD151,HNRNPH1,CD151
11_834557_836411|CD151,HNRNPU,CD151
11_834557_836411|CD151,MBNL1,CD151
11_834557_836411|CD151,PCBP1,CD151
11_834557_836411|CD151,PCBP3,CD151
11_834557_836411|CD151,PTBP1,CD151
11_834557_836411|CD151,SRSF2,CD151
11_834557_836411|CD151,SRSF3,CD151
11_836107_836333|CD151,CUG-BP,CD151
11_836107_836333|CD151,MBNL1,CD151
11_836107_836333|CD151,PCBP3,CD151
11_836107_836333|CD151,RBM41,CD151
11_836107_836333|CD151,SRSF2,CD151
11_836107_836333|CD151,SRSF3,CD151
11_836107_836333|CD151,SRSF5,CD151
11_836107_836333|CD151,TARDBP,CD151
11_85707868_85742653|PICALM,DAZAP1,PICALM
11_85707868_85742653|PICALM,FXR1,PICALM
11_85707868_85742653|PICALM,RBM46,PICALM
11_85707868_85742653|PICALM,SNRPA,PICALM
11_85707868_85742653|PICALM,SRSF2,PICALM
11_85707868_85742653|PICALM,SRSF3,PICALM
11_85707868_85742653|PICALM,SRSF7,PICALM
11_85707868_85742653|PICALM,ZCRB1,PICALM
11_8636038_8636193|TRIM66,MBNL1,TRIM66
11_8636038_8636193|TRIM66,NOVA1,TRIM66
11_8636038_8636193|TRIM66,PCBP3,TRIM66
11_8636038_8636193|TRIM66,PTBP1,TRIM66
11_8636038_8636193|TRIM66,SRSF2,TRIM66
11_8636038_8636193|TRIM66,SRSF3,TRIM66
11_8636038_8636193|TRIM66,SRSF5,TRIM66
11_88045617_88068212|CTSC,CUG-BP,CTSC
11_88045617_88068212|CTSC,FXR1,CTSC
11_88045617_88068212|CTSC,G3BP2,CTSC
11_88045617_88068212|CTSC,HNRNPM,CTSC
11_88045617_88068212|CTSC,MBNL1,CTSC
11_88045617_88068212|CTSC,RBM5,CTSC
11_88045617_88068212|CTSC,SRSF1,CTSC
11_88045617_88068212|CTSC,SRSF5,CTSC
11_88045617_88068212|CTSC,SRSF9,CTSC
11_88045617_88068212|CTSC,TARDBP,CTSC
11_88070748_88070863|CTSC,CPEB2,CTSC
11_88070748_88070863|CTSC,CPEB4,CTSC
11_88070748_88070863|CTSC,CUG-BP,CTSC
11_88070748_88070863|CTSC,HNRNPC,CTSC
11_88070748_88070863|CTSC,HNRNPCL1,CTSC
11_88070748_88070863|CTSC,HNRNPL,CTSC
11_88070748_88070863|CTSC,MBNL1,CTSC
11_88070748_88070863|CTSC,PTBP1,CTSC
11_88070748_88070863|CTSC,RALY,CTSC
11_88070748_88070863|CTSC,SRSF2,CTSC
11_88070748_88070863|CTSC,SRSF3,CTSC
11_88070748_88070863|CTSC,SRSF5,CTSC
11_88070748_88070863|CTSC,SRSF7,CTSC
11_88070748_88070863|CTSC,U2AF2,CTSC
11_95569307_95569408|MTMR2,FXR1,MTMR2
11_95569307_95569408|MTMR2,IGF2BP2,MTMR2
11_95569307_95569408|MTMR2,MBNL1,MTMR2
11_95569307_95569408|MTMR2,NOVA1,MTMR2
11_95569307_95569408|MTMR2,PCBP3,MTMR2
11_95569307_95569408|MTMR2,RBFOX1,MTMR2
11_95569307_95569408|MTMR2,RBM46,MTMR2
11_95569307_95569408|MTMR2,RBM6,MTMR2
11_95569307_95569408|MTMR2,SNRNP70,MTMR2
11_95569307_95569408|MTMR2,SRSF3,MTMR2
11_95569307_95569408|MTMR2,SRSF5,MTMR2
11_95825055_95826681|MAML2,CNOT4,MAML2
11_95825055_95826681|MAML2,DAZAP1,MAML2
11_95825055_95826681|MAML2,ENOX1,MAML2
11_95825055_95826681|MAML2,FMR1,MAML2
11_95825055_95826681|MAML2,HNRNPL,MAML2
11_95825055_95826681|MAML2,IGF2BP3,MAML2
11_95825055_95826681|MAML2,KHDRBS1,MAML2
11_95825055_95826681|MAML2,PABPC1,MAML2
11_95825055_95826681|MAML2,PABPC3,MAML2
11_95825055_95826681|MAML2,PABPC4,MAML2
11_95825055_95826681|MAML2,PABPN1,MAML2
11_95825055_95826681|MAML2,SART3,MAML2
11_95825055_95826681|MAML2,SRSF10,MAML2
11_95825055_95826681|MAML2,SRSF2,MAML2
11_95825055_95826681|MAML2,SRSF3,MAML2
11_95825055_95826681|MAML2,SRSF5,MAML2
